Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
HIGH STREET CENTRE,1 North Bridge Road #11 -10,73,Strata,1493400,20458,1901,5-Dec-18,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
TEXTILE CENTRE,200 Jalan Sultan #09 -07,82,Strata,838000,10220,949,5-Dec-18,Office,99 Yrs From 02/06/1970,Resale,7,19,199018,Central Region,Kallang
HIGH STREET PLAZA,77 High Street #03 -17,42,Strata,1040000,24762,2300,5-Dec-18,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #17 -12,135,Strata,2485000,18407,1710,5-Dec-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
FU LU SHOU COMPLEX,149 Rochor Road #02 -18,40,Strata,1500000,37500,3484,5-Dec-18,Retail,99 Yrs From 16/06/1980,Resale,7,18,188425,Central Region,Rochor
THE PROMENADE@PELIKAT,183 Jalan Pelikat #B2 -10,15,Strata,310999,20733,1926,4-Dec-18,Office,Freehold,Resale,19,53,537643,North East Region,Hougang
GOLDEN MILE TOWER,6001 Beach Road #01 -38,33,Strata,639000,19364,1799,3-Dec-18,Office,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
SOUTHBANK,883 North Bridge Road #03 -05,85,Strata,1398000,16447,1528,3-Dec-18,Office,99 Yrs From 27/01/2006,Resale,7,19,198785,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road #B1 -28,25,Strata,360000,14400,1338,30-Nov-18,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #10 -02,43,Strata,971990,22604,2100,30-Nov-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #10 -01,44,Strata,994600,22605,2100,30-Nov-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
LITTLE INDIA CONSERVATION AREA,21 Upper Weld Road,160,Land,4550000,28402,2639,29-Nov-18,Shop House,Freehold,Resale,8,20,207378,Central Region,Rochor
FORTUNE CENTRE,190 Middle Road #04 -26,28,Strata,498000,17786,1652,29-Nov-18,Retail,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
FORTUNE CENTRE,190 Middle Road #04 -14,31,Strata,550000,17742,1648,29-Nov-18,Retail,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
GUTHRIE BUILDING,150 Changi Road #03 -06,173,Strata,2048389,11840,1100,29-Nov-18,Office,Freehold,Resale,14,41,419973,Central Region,Geylang
GEYLANG CONSERVATION AREA,739-1 Geylang Road,118,Land,2728000,23060,2142,28-Nov-18,Shop House,Freehold,Resale,14,38,389650,Central Region,Geylang
GOLDEN MILE TOWER,6001 Beach Road #02 -60,18,Strata,335000,18611,1729,28-Nov-18,Retail,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
TRIPLEONE SOMERSET,111 Somerset Road #06 -02,48,Strata,1296841,27018,2510,27-Nov-18,Retail,99 Yrs From 19/02/1975,New Sale,9,23,238164,Central Region,Orchard
